"","X","Timestamp","Consent","OvSatBIOS","ConfLStatBIOS","ConfLExBIOS","ConfLSoftBIOS","MedPrefBIOS","MedPrefRBIOS","NumLecsBIOS","NumOnlineRT","NumOnlineP","ImpLiveOnline","FFormatThis","FFormatOther","CommBIOS","SocialMed","Gender","Age","Race","JobStat","WHours","Travelminutes","FTPT","Program","Education","STEMstat","HybridHist","CourseGrade","EpiBiosStatus","ConfLEpi","MedPrefEPI","PrefEPIR","CommEPI","CChild","AdvHybrid","DisadHybrid","OvSatEPI","ConfLStatEPI","Race2","Job","RC1","RC2","MedPrefEPI2","MedPrefBIOS2","retake"
"1",1,"2014-06-11 14:37:58","Agree (participate in the survey)",4,2,3,4,"In person","I prefer class in person because it allows for interaction with classmates and for me to ask questions in real time. I also find it less distracting to attend class in person than at home, where I have 2 roommates. ",10,0,2,2,"Classes are in-person only","Classes are in-person only","Although I preferred class in person, it was nice to have the lectures recorded so that I could review them after class, or if I had to miss a class for whatever reason.","At least every week, but not every day","Female",25,"Non-Hispanic white","Full-time",35,35,"Part-time","Health Policy & Management","Bachelor’s degree","No",2,"A or A+","Bios",NA,NA,NA,NA,"No","I think it depends on your schedule. Last semester, I had a course right before Biostat, so there was really no way for me to make it home to attend ""live"" online. Therefore, I attended the majority of classes in person. However, if I did not have class before, it may have been more convenient to stay home and not travel to school. I also find that having the lectures recorded for review really helps. My ideal situation would be for all classes to be in-person, but also recorded for review after the class. ","One of the main disadvantages I have found is that you cannot ask questions easily (even if it is live, there is often a delay, etc). During Hybrid courses, I sometimes forget which questions I want to ask, or find it annoying to have to email every time I have a question. I also do not like the limited interaction with classmates--there is no opportunity for discussion. When only half the class comes in person, I find it a little discouraging and frustrating.  With Biostat, I don't see this as as much of a problem, but for some classes, I think discussion is very important. ",NA,2,"Non-Hispanic white","Full-time","Interactivity","LearnPref",NA,"In person","In-person"
"2",2,"2014-06-11 15:46:00","Agree (participate in the survey)",4,3,4,5,"In person","I find attending in-person lectures more mentally engaging than watching them online. ",10,1,1,5,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.","While I attended most lectures in person, I must admit that it was very convenient to be able to watch them online.  As a full time employee, there were one or two sessions where work ran late and I knew that I wouldn't have been able to make it to class in time. On those days, I attended through YouTube, which made things much less stressful. ","Daily or more frequently","Female",29,"Non-Hispanic white","Full-time",50,60,"Part-time","Environmental & Occupational Health Science","Bachelor’s degree","Yes",0,"A or A+","Bios",NA,NA,NA,NA,"No","The hybrid course format can be very convenient for students who work full time or have other obligations that disrupt their schedules. ","I think that meeting and speaking with professors in-person is an essential part of the student experience. It allows them to converse on a deep level that's difficult to attain via email, the internet, etc.",NA,3,"Non-Hispanic white","Full-time","Interactivity",NA,NA,"In person","Option of in-person or online"
"3",3,"2014-06-11 16:09:07","Agree (participate in the survey)",5,2,3,5,"In person",NA,9,2,1,5,"I would like to have the option of attending each class in-person or online.","10-2 or 9-3",NA,"Less than weekly","Male",31,"Non-Hispanic white","Prefer not to respond",NA,160,"Part-time","Environmental & Occupational Health Science","Professional school degree (example: MD, DDS, DVM, JD)","No",1,"A or A+","Bios",NA,NA,NA,NA,"No","Flexibility","Lack of motivation and laziness, there should be non online classes towards the end of the semester",NA,2,"Non-Hispanic white","No/No Answer",NA,NA,NA,"In person","Option of in-person or online"
"4",4,"2014-06-11 22:39:36","Agree (participate in the survey)",4,1,1,3,"Online after class is over","Due to time constraints, this was most convenient. I could also rewind and view the class again if necessary.",1,5,6,2,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.",NA,"Daily or more frequently","Female",29,"Non-Hispanic white","Part-time",6,120,"Part-time","doctor of nursing practice","Bachelor’s degree","No",2,"A- or B+","Bios",NA,NA,NA,NA,"Yes","Scheduling concerns.","None.",NA,1,"Non-Hispanic white","Part-time","Convenience",NA,NA,"Asynchronous","Option of in-person or online"
"5",5,"2014-06-12 15:31:59","Agree (participate in the survey)",4,4,3,5,"In person","Ability to ask questions",11,1,0,5,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.","I like that there are recordings of the class and opportunity to listen to it online. It's good if your sick.","Daily or more frequently","Female",31,"South Asian/European Jew","No",NA,2,"Full-time ","Health Policy & Management","Master’s degree","No",0,"A- or B+","Bios",NA,NA,NA,NA,"No","If you cannot make it on time you may miss some information","You cannot ask questions unless the professor is using an interactive program to broadcast the course.",NA,4,"Other","No/No Answer","Interactivity",NA,NA,"In person","Option of in-person or online"
"6",6,"2014-06-12 22:45:16","Agree (participate in the survey)",4,2,5,5,"Online while class is occurring","I have a long commute, and preferred to be able to attend class from the comfort of my home. Attending while class was occurring made the interaction ""live,"" so as long as Google Hangouts was cooperating I was able to interact with classmates and the instructor. ",2,9,1,5,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.",NA,"Daily or more frequently","Female",NA,"Non-Hispanic black","Full-time",50,120,"Part-time","Community/Public Health Nursing/Urban Public Health","Bachelor’s degree","No",0,"A or A+","Bios",NA,NA,NA,NA,"No","Convenience on the part of the student who may be attending part-time and is working a full time (+) job. ","If classmates are not familiar with the format they do not engage as much in conversation. ",NA,2,"Non-Hispanic black","Full-time","AvoidCommute","Interactivity",NA,"Synchronous","Option of in-person or online"
"7",7,"2014-06-14 12:29:01","Agree (participate in the survey)",NA,2,4,3,NA,NA,NA,NA,NA,NA,"Classes are in-person only","Classes are in-person only",NA,"Less than weekly","Female",22,"Non-Hispanic black","Full-time",40,180,"Full-time ","Environmental & Occupational Health Sciences","Bachelor’s degree","Yes",2,"A or A+","Epi",2,"In person","I learn best in a classroom setting. Online sessions open the doors for procrastination and familial interruptions. ",NA,"No","-Travel time can be used to study at home
-Elimination of costs of commuting to the campus
-Access the online session at my own convenience, get to replay a lecture. 
-You don't have to sit in a class for 2+ hours","-Distraction
-Procrastination
-Can't ask a question on the spot, but emailing is fine once your professor is communicative. ",4,NA,"Non-Hispanic black","Full-time","LearnPref",NA,"In person",NA,"In-person"
"8",8,"2014-06-15 16:51:02","Agree (participate in the survey)",4,3,4,4,"Online while class is occurring","For working professionals, it is easier to learn this material in the comforts of home.",7,3,2,3,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.",NA,"Daily or more frequently","Male",43,"Non-Hispanic black","Full-time",50,80,"Part-time","Environmental & Occupational Health Science","Master’s degree","Yes",1,"A or A+","Bios",NA,NA,NA,NA,"No","Students can absorb the information at their own pace and be given the opportunity to attend in person if there are specific questions on particular topics.","It does take self-discipline to log on to get the materials.",NA,4,"Non-Hispanic black","Full-time","Convenience",NA,NA,"Synchronous","Option of in-person or online"
"9",9,"2014-06-15 17:29:52","Agree (participate in the survey)",4,3,3,4,"Online after class is over","I'm able to learn at my own pace by pausing the lecture to reiterate important points...

Travelling to and from class take approximately 3 hrs

",3,3,10,2,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online."," I learnt more in the hybrid format than I would have traditionally---given the same amount of time... And the instructor responded to inquiries promptly, which made it more comfortable to learn from home... ","Less than weekly","Female",25,"Non-Hispanic black","Full-time",38,180,"Part-time","Community/Public Health Nursing/Urban Public Health","Bachelor’s degree","No",2,"A or A+","Bios",NA,NA,NA,NA,"No","Travel time can be spent in a more useful way..
 And considering that I have classes in locations that are over an hour apart, I can take classes right after each other if online classes are offered (hunter does not have enough varied time options to benefit class selection)","It may be hard for students to hold office hours online to adequately grasp confusing topics but I haven't had such a problem yet... 
It would be a disadvantage if the instructor cannot be easily reached or takes several days to respond to messages.   ",NA,3,"Non-Hispanic black","Full-time","LearnPref","AvoidCommute",NA,"Asynchronous","Option of in-person or online"
"10",10,"2014-06-16 16:31:34","Agree (participate in the survey)",4,2,2,3,"In person","Easier for me to pay attention and take notes, without the distraction that taking the class online has: checking emails, reading facebook etc. It also eliminated any variables such as computer crashes that could occur during online class.",9,3,0,5,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.",NA,"Daily or more frequently","Male",28,"Non-Hispanic white","Full-time",35,210,"Part-time","Environmental & Occupational Health Science","Bachelor’s degree","Yes",0,"A or A+","Bios",NA,NA,NA,NA,"No","Logistical problems related to transportation are eliminated with online courses. Students who cannot or should not travel do not have to miss class. Also, if the classes are recorded, the students have a fantastic record for future study.","It is harder to concentrate on the lecture when it is on the computer; the temptation to ""multi-task"" during lecture is too great. Also, technical difficulties can spoil the lecture.",NA,2,"Non-Hispanic white","Full-time","LearnPref",NA,NA,"In person","Option of in-person or online"
"11",11,"2014-06-16 19:52:35","Agree (participate in the survey)",3,3,3,4,"In person","able to interact more, and have questions answered more redily",11,1,0,5,"Classes are in-person only","Classes are in-person only",NA,"Less than weekly",NA,NA,"Prefer not to respond","Full-time",35,2,"Part-time","Community Health Education","Bachelor’s degree","No",2,"A- or B+","Bios",NA,NA,NA,NA,"No","travel time ","class participation/ interaction  is lacking. ",NA,2,"Other","Full-time","Interactivity",NA,NA,"In person","In-person"
"12",12,"2014-06-16 20:06:13","Agree (participate in the survey)",NA,4,4,4,NA,NA,NA,NA,NA,NA,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.",NA,"Daily or more frequently","Female",32,"Asian","Full-time",45,80,"Part-time","Nutrition","Bachelor’s degree","Yes",5,"A or A+","Epi",2,"Online","You can learn at your own pace and be able to rewind if you want to listen to a point more closely. ",NA,"No","more social interactions with other students who may have the same questions as you","hard for people who have full time jobs and may not make all the classes ",2,NA,"Other","Full-time","LearnPref",NA,"Synchronous",NA,"Option of in-person or online"
"13",13,"2014-06-16 20:43:11","Agree (participate in the survey)",NA,5,5,5,NA,NA,NA,NA,NA,NA,"Classes are in-person only","Classes are in-person only",NA,"Daily or more frequently","Female",24,"Non-Hispanic white","Full-time",40,2,"Part-time","Community Health Education","Bachelor’s degree","Yes",1,"B or B-","Epi",2,"In person","I like interacting with the professor and being able to engage in class discussion/ask questions. You could not do this with pre-recorded lectures. A live class via blackboard collaborate would have been cool. ","It was a bit inconsistent in terms of the pattern of in person/online","No","Convenience of relaxing in your own home, not having to travel back home late at night. ","Less appropriate for comments/questions. ",4,NA,"Non-Hispanic white","Full-time","Interactivity",NA,"In person",NA,"In-person"
"14",14,"2014-06-16 21:53:15","Agree (participate in the survey)",NA,5,5,5,NA,NA,NA,NA,NA,NA,"I would like to have the option of attending each class in-person or online.","Eight sessions in-person only, four sessions online only.",NA,"Daily or more frequently","Male",26,NA,"Full-time",38,50,"Part-time","Community Health Education","Bachelor’s degree","No",1,"A or A+","Epi",2,"Online","Ease of access to lectures on our own time. When working fulltime it can be difficult thing to manage getting to classes regularly and on time. Having the lectures online made it easier.","Even though its a great idea to do online courses, i feel the human in person interaction is critical when learning off each other.","No","The ease of taking courses and lectures on your own time instead of on a fixed schedule, ","You lose the main personal interaction with the professor and lose learning off of your classmates questions. ",4,NA,NA,"Full-time","Convenience",NA,"Synchronous",NA,"Option of in-person or online"
"15",15,"2014-06-17 14:35:54","Agree (participate in the survey)",NA,3,5,5,NA,NA,NA,NA,NA,NA,"Classes are online only","I would like to have the option of attending each class in-person or online.",NA,"Daily or more frequently","Female",27,"Non-Hispanic white","Full-time",40,120,"Full-time ","Community Health Education","Bachelor’s degree","No",1,"A- or B+","Epi",1,"Online","I work full-time and it can often be a hassle getting into the city to attend class. Online courses allow me to actually eat dinner and breathe in between work and school.",NA,"No","Hybrid is convenient (when courses are online) but keep you connected with the professor so you don't feel like you are learning everything on your own. In person sessions really allow students to clear up any uncertainties and questions that may not otherwise be answered.","There may not be immediate help when a student has a question.",5,NA,"Non-Hispanic white","Full-time","AvoidCommute",NA,"Synchronous",NA,"Online only"
"16",16,"2014-06-18 09:52:36","Agree (participate in the survey)",NA,1,1,4,NA,NA,NA,NA,NA,NA,"6 in-person only, 6 0nline only","Eight sessions in-person only, four sessions online only.",NA,"Never","Female",64,"Non-Hispanic black","No",NA,165,"Part-time","Community Health Education","Master’s degree","No",1,"A or A+","Epi",2,"In person","The professor was very thorough.","It worked very well for me in this class.","No","Schedule flexibility, less travel (especially in the Winter)","Unable to have questions answered on the spot; cannot share opinions/ideas with classmates in real time",5,NA,"Non-Hispanic black","No/No Answer",NA,NA,"In person",NA,"Other"
"17",17,"2014-06-18 19:01:16","Agree (participate in the survey)",4,2,4,5,"Online while class is occurring","I did not have to commute to Harlem.",1,11,0,4,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.","It was great. ","Daily or more frequently","Female",22,"Non-Hispanic black","Part-time",20,120,"Full-time ","Environmental & Occupational Health Science","Bachelor’s degree","Yes",0,"A or A+","Bios",NA,NA,NA,NA,"No","It saves time, especially when the classes end late. ","Students are less likely to interact and be engaged. ",NA,1,"Non-Hispanic black","Part-time","AvoidCommute",NA,NA,"Synchronous","Option of in-person or online"
"18",18,"2014-06-20 16:32:08","Agree (participate in the survey)",NA,2,4,4,NA,NA,NA,NA,NA,NA,"I would like to have the option of attending each class in-person or online.","Eight sessions in-person only, four sessions online only.",NA,"Never","Female",27,"Hispanic","Full-time",50,40,"Part-time","Community Health Education","Bachelor’s degree","No",4,"A- or B+","Epi",2,"In person","There are certain concepts that are easier to cover in class and lectures can be a bit monotone especially if you don't feel comfortable with the material in the first place. I also feel that it is somewhat easier to follow when courses such as epi are offered in person. ",NA,"No","The obvious is that with hybrid classes you are able to complete work and view lectures on your own time and there is more flexibility. ","It can get overwhelming at times when the material is not as easy to understand and an easier material is held in-person and one that is more complex is held online.    ",3,NA,"Hispanic","Full-time",NA,NA,"In person",NA,"Option of in-person or online"
