"","X","Timestamp","Consent","OvSatBIOS","ConfLStatBIOS","ConfLExBIOS","ConfLSoftBIOS","MedPrefBIOS","MedPrefRBIOS","NumLecsBIOS","NumOnlineRT","NumOnlineP","ImpLiveOnline","FFormatThis","FFormatOther","CommBIOS","SocialMed","Gender","Age","Race","JobStat","WHours","Travelminutes","FTPT","Program","Education","STEMstat","HybridHist","CourseGrade","EpiBiosStatus","ConfLEpi","MedPrefEPI","PrefEPIR","CommEPI","CChild","AdvHybrid","DisadHybrid","OvSatEPI","ConfLStatEPI","Race2","Job","RC1","RC2","MedPrefEPI2","MedPrefBIOS2","retake"
"19",19,"2014-06-24 23:19:50","Agree (participate in the survey)",NA,1,4,3,NA,NA,NA,NA,NA,NA,"Eight sessions in-person only, four sessions online only.","I would like to have the option of attending each class in-person or online.",NA,"Daily or more frequently","Male",35,"Non-Hispanic black","Full-time",35,150,"Part-time","Environmental & Occupational Health Science","Bachelor’s degree","Yes",2,"A- or B+","Epi",1,"In person","it allowed me to get answers from my questions and better feedback on my work","the intermittent online sessions allowed me to better organize myself and catch up on classes, since I am working full time and I am working every other weekend. some weeks, I dont even have time to study so I can catch up the following week at any time just by going to the online class. ","Yes","ability to organize your time, possibility to miss a class and still be able to login and watch or read the class at a more suitable time, ability to watch or read a class more than one time to better understand parts of the class","we tend to postpone study or attendance of online classes and at term, we are lost, way too late",5,NA,"Non-Hispanic black","Full-time","Interactivity",NA,"In person",NA,"8 online, 4 in-person"
"20",20,"2014-06-25 17:03:19","Agree (participate in the survey)",5,2,3,5,"Online after class is over","I can pace myself, listening and extracting information in an envirnment that i am most comfortable with--home.",1,4,7,5,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.","I think all the professors need to have same level of commitment. The course was intense and support from instructors was necessary. One professor was not as comitted as the others. But thumps up that all class section is open even for others that was not on that section.","Daily or more frequently","Female",33,"Non-Hispanic black","Full-time",40,60,"Full-time ","Community/Public Health Nursing/Urban Public Health","Bachelor’s degree","No",5,"A- or B+","Bios",NA,NA,NA,NA,"Yes","Hybrid - do not need to travel, confortable enviornment, no unwanted interrupption, i can focus entirely on the lecture as supposed to other students
In person- computer access especially the special software needed for the class","Hybrid-not able to ask questions as much as i want to sometimes it was hard for the professor to notice hybrid students and also problems with computer communication features",NA,2,"Non-Hispanic black","Full-time","LearnPref",NA,NA,"Asynchronous","Option of in-person or online"
"21",21,"2014-06-25 17:56:07","Agree (participate in the survey)",5,4,4,4,"Online after class is over","I could concentrate on the lecture when I was not tired",5,1,9,1,"Classes are online only","Classes are online only",NA,"Prefer not to respond","Female",37,"Asian","Full-time",40,60,"Part-time","Community/Public Health Nursing/Urban Public Health","Master’s degree","Yes",0,"A or A+","Bios",NA,NA,NA,NA,"No","saving time ","not to study unless I have exams or presentation",NA,4,"Other","Full-time","LearnPref",NA,NA,"Asynchronous","Online only"
"22",22,"2014-06-25 18:31:27","Agree (participate in the survey)",4,1,2,3,"Online after class is over","I learned better at my own pace with the ability to rewind and pause.",6,1,5,1,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.",NA,"Daily or more frequently","Female",28,"Non-Hispanic white","Full-time",40,90,"Part-time","Health Policy & Management","Bachelor’s degree","No",2,"A or A+","Bios",NA,NA,NA,NA,"No","Most of us are working full time while going to school. At times it is difficult to get to class after a long day. The ability to learn at my own convenience was helpful.","None",NA,1,"Non-Hispanic white","Full-time","Convenience",NA,NA,"Asynchronous","Option of in-person or online"
"23",23,"2014-06-25 19:19:37","Agree (participate in the survey)",5,1,4,4,"Online after class is over","I could pause, rewind, take screen shots of critical problems.",3,4,5,1,"Classes are online only","Classes are online only","I liked that you used YouTube to house videos - it was a much more stable environment than dealing with Blackboard.","Daily or more frequently","Female",36,"Non-Hispanic white","Full-time",60,120,"Part-time","Health Policy & Management","Bachelor’s degree","No",4,"B or B-","Bios",NA,NA,NA,NA,"Yes","I'm an adult student, and I work long hours.  Having the hybrid format ensured that I did not miss lectures, and allowed me to go over concepts that were more challenging at my own pace, on my own time (whether that was a morning commute, or in bed at night!)","I think it's a personal preference - either you're disciplined and you find the format advantageous, or you let the coursework slide, and you lose out.",NA,1,"Non-Hispanic white","Full-time","Convenience",NA,NA,"Asynchronous","Online only"
"24",24,"2014-06-25 20:42:44","Agree (participate in the survey)",5,3,3,3,"Online while class is occurring","Because I work in Brooklyn and traveling is almost an hour if there was not delay on the train.  Online while the class is occurring gave me the opportunity to interact asking question online",3,9,0,4,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.",NA,"Daily or more frequently","Female",37,"Hispanic","Full-time",40,2.5,"Part-time","none matriculated","Professional school degree (example: MD, DDS, DVM, JD)","Yes",0,"A or A+","Bios",NA,NA,NA,NA,"No","Flexibility specially for a full time worker like me","the main disadvantages are the lab component because I only have one screen open to watch the class so I couldn't practice the exercises at the same time",NA,3,"Hispanic","Full-time","AvoidCommute","Interactivity",NA,"Synchronous","Option of in-person or online"
"25",25,"2014-06-25 21:03:10","Agree (participate in the survey)",4,3,4,3,"In person","Because I learn better in a lecture setting, and I like being able to ask questions in real time.",10,0,2,1,"Classes are in person and recorded for viewing after the lecture is over","Classes are in person and recorded for viewing after the lecture is over","I thought that having a live recording of the class was distracting and made the class run slower, as we were always having to read the online questions and the technology would sometimes fail. I do like the option of having the class recorded so you can watch if you're unable to make it to class though.","Daily or more frequently","Female",25,"Non-Hispanic white","Full-time",37.5,75,"Part-time","I'm a non degree student","Bachelor’s degree","No",0,"A or A+","Bios",NA,NA,NA,NA,"No","For someone who can't travel to class, being live online enables them to ask questions during the lecture.","When the technology doesn't work, time is wasted that could be spent learning or practicing.",NA,3,"Non-Hispanic white","Full-time","LearnPref",NA,NA,"In person","Other"
"26",26,"2014-06-25 22:34:40","Agree (participate in the survey)",4,1,4,3,"In person","Interaction in real time ",9,0,3,3,"I would like to have the option of attending each class in-person or online.","It really depends on the content matter. You miss the human interaction and expressions which is all part of the learning process","I have to admit the review online classes were helpful","Daily or more frequently","Female",46,"Hispanic","Full-time",45,2.5,"Part-time","Health Policy & Management","Bachelor’s degree","Yes",0,"B or B-","Bios",NA,NA,NA,NA,"No","Convenience of not commuting and ability to review materials along with questions several times for better understanding","Easily distracted, lack of interaction and team work",NA,1,"Hispanic","Full-time","Interactivity",NA,NA,"In person","Option of in-person or online"
"27",27,"2014-06-25 23:11:33","Agree (participate in the survey)",5,2,2,4,"Online after class is over","I liked to be able to pause the lectures and rewind/repeat statements to better understand difficult topics. Also, it was helpful to be able to watch the lectures at a time more suitable for me. And being able to stay at home and watch the lecture in my pajamas with my cat was great. ",2,4,6,3,"I would like to have the option of attending each class in-person or online.","Eight sessions in-person only, four sessions online only.",NA,"Daily or more frequently","Female",32,"Hispanic","Full-time",35,50,"Part-time","Community/Public Health Nursing/Urban Public Health","Bachelor’s degree","No",0,"A or A+","Bios",NA,NA,NA,NA,"No","Scheduling flexibility which is helpful for students who are also working full-time working professionals.",NA,NA,3,"Hispanic","Full-time","Convenience",NA,NA,"Asynchronous","Option of in-person or online"
"28",28,"2014-06-25 23:29:38","Agree (participate in the survey)",5,1,1,1,"In person","To ask questions about the subject matter in person, have that face to face contact",12,0,12,1,"Classes are in-person only","Classes are in-person only","It is to difficult to be taught in a hybrid format","Less than weekly","Female",47,"Non-Hispanic black","Full-time",37.5,90,"Part-time","Community/Public Health Nursing/Urban Public Health","Bachelor’s degree","Yes",2,"B or B-","Bios",NA,NA,NA,NA,"No","For me the only advantage would be saving subway fare","not having that face-to face interaction",NA,1,"Non-Hispanic black","Full-time","Interactivity",NA,NA,"In person","In-person"
"29",29,"2014-06-26 10:43:01","Agree (participate in the survey)",5,3,5,5,"Online while class is occurring","It obviated the 80 minute commute to school. I was also able to rewind lectures and pick up on information I missed.",4,7,1,4,"I would like to have the option of attending each class in-person or online.","Eight sessions in-person only, four sessions online only.","This was by far the best online course I have taken in my undergraduate or graduate studies. The professors clearly cared about the students and new how best to use technology for live streaming of the classes. ","Daily or more frequently","Male",28,"Non-Hispanic white","Part-time",30,160,"Part-time","Environmental & Occupational Health Science","Bachelor’s degree","Yes",2,"A or A+","Bios",NA,NA,NA,NA,"No","Convenience is the main advantage. Being able to absorb material at your own pace is also important. Some classes also benefit from online discussion. ","You becomes less connected to the professors. ",NA,3,"Non-Hispanic white","Part-time","AvoidCommute","Convenience",NA,"Synchronous","Option of in-person or online"
"30",30,"2014-06-26 10:48:02","Agree (participate in the survey)",4,3,3,4,"In person","I felt I learned better and paid better attention when there in-person. I was less distracted and able to focus on the material. ",9,1,2,2,"Option of each class in-person or recorded (not just online)","I would like to have the option of attending each class in-person or online.","While I preferred to attend in-person, I appreciated the class recordings. As a student with a full-time job I had to miss some classes because of business travel and was able to learn the materials through the class recording. The class recordings also helped when studying for exams. ","Daily or more frequently","Female",30,"Non-Hispanic white","Full-time",50,90,"Part-time","Health Policy & Management","Bachelor’s degree","No",2,"A or A+","Bios",NA,NA,NA,NA,"No","Students who have to miss class for work are able to learn the material in a better way. ","Students have to be self-started and make sure they don't fall behind. Professors must be responsive to email in this format (which was the case)",NA,3,"Non-Hispanic white","Full-time","LearnPref",NA,NA,"In person","Other"
"31",31,"2014-06-26 13:11:33","Agree (participate in the survey)",NA,3,3,4,NA,NA,NA,NA,NA,NA,"Classes are online only","I would like to have the option of attending each class in-person or online.",NA,"Daily or more frequently","Female",25,"Non-Hispanic black","Full-time",42,130,"Part-time","Environmental & Occupational Health Science","Bachelor’s degree","Yes",3,"B or B-","Epi",1,"Online","It is generally hard to attend a late course when I work from 7am to 3pm. Online is better because I can always read/watch my lecture as soon as I get home the following day after it is posted","I like it better, I would prefer if we had classes that were fully online","No","you can review lectures in your own time. It is easier to concentrate when you are not tired from working and then have to sit through a 3 hour class every week.","Profesors don't always answer emails right away and this would be the main source of communication. They would have to make sure they are available for questions and give prompt responses.",4,NA,"Non-Hispanic black","Full-time","Convenience",NA,"Synchronous",NA,"Online only"
"32",32,"2014-06-26 15:02:17","Agree (participate in the survey)",2,2,2,4,"Online after class is over","I prefer to learn at my own pace. I wish the course utilized online lessons combining text, extremely short video clips, and practice problems. 
Recordings of live lectures were not indexed. This made it hard to track down explanations of specific topics. The lectures were too time consuming for the materials. Not a useful learning tool.  ",2,3,4,1,"Classes are online only","Eight sessions in-person only, four sessions online only.","I like the option of learning online and learning in person, but the online component should not just be a recording of the in person component. It needs to be designed with home users in mind. ","At least every week, but not every day","Male",34,"Non-Hispanic white","Full-time",45,140,"Part-time","Health Policy & Management","Master’s degree","No",2,"A- or B+","Bios",NA,NA,NA,NA,"No","Reduce commute. Lectures can be edited into short segments rather than presented in 90 minute blocks. This was not done for this course. ","Hybrid classes do not encourage diligence. If the social contact between student and professor is reduced, students have less social responsibility to work hard. ",NA,2,"Non-Hispanic white","Full-time","LearnPref",NA,NA,"Asynchronous","Online only"
"33",33,"2014-06-27 09:39:11","Agree (participate in the survey)",4,4,4,4,"Online after class is over","I preferred the online format because I live about 2 hours away from the school. At times, traveling became very difficult and stressful. I like the fact that we had the option to attend lectures online, on our own time.",5,2,5,3,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.","I was familiar with statistics before taking this course. However, I believe that some students may need to take the class in person or online while class is occurring so that they can ask questions. Regardless, the online option was very beneficial to many students and should remain an option in the future. ","Daily or more frequently","Female",25,"Non-Hispanic black","Part-time",10,240,"Part-time","Community/Public Health Nursing/Urban Public Health","Bachelor’s degree","Yes",5,"A or A+","Bios",NA,NA,NA,NA,"Yes","Hybrid courses allow students to take classes on their own time. By saving travel time, students have more time for classwork and other personal agendas.  ","Everyone learns differently. In more difficult courses, some students may need a professor and cannot teach themselves just by reading online material. In-person classes allow students to ask questions as soon as they arise, and receive answers from the professor in a different format than what is written in the PowerPoints.",NA,4,"Non-Hispanic black","Part-time","AvoidCommute","Convenience",NA,"Asynchronous","Option of in-person or online"
"34",34,"2014-06-27 12:18:45","Agree (participate in the survey)",NA,2,3,4,NA,NA,NA,NA,NA,NA,"Eight sessions in-person only, four sessions online only.","Eight sessions in-person only, four sessions online only.",NA,"Less than weekly","Female",25,"Non-Hispanic black","Full-time",35,30,"Part-time","Community Health Education","Bachelor’s degree","No",1,"A- or B+","Epi",2,"In person","The online didn't push me to really learn anything, though it was nice to not go to class and have a break I felt the in class lecture was better for me as a student. ","The hybrid is not bad, I would prefer more in class lectures","No","It gives the students and teachers a chance to catch up!","Sometimes with an online students can fall behind because they aren't keeping up with the online classes",4,NA,"Non-Hispanic black","Full-time","LearnPref",NA,"In person",NA,"8 online, 4 in-person"
"35",35,"2014-06-27 20:51:12","Agree (participate in the survey)",5,3,4,3,"In person","I preferred this format because I am from the old school. I like the live interaction between students and professor.",12,0,0,5,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.","I enjoyed the hybrid format PH750.  During the online sessions still attended the all of the lectures and labs in person.  ","Never","Male",55,"Hispanic","Full-time",35,130,"Part-time","Community/Public Health Nursing/Urban Public Health","Bachelor’s degree","No",4,"A or A+","Bios",NA,NA,NA,NA,"Yes","The main advantages of taking the hybrid classes would be that the online sessions would save a lot traveling time especially for students who are pressured for time and have a long traveling time to school. The other advantage is that students can attend in person and a live interaction with the professor and classmates.","The main advantage is time.  The time that you would use in traveling to the school and back home can be used to study for the course.",NA,3,"Hispanic","Full-time","LearnPref","Interactivity",NA,"In person","Option of in-person or online"
"36",36,"2014-06-28 16:03:31","Agree (participate in the survey)",5,3,3,5,"In person","in person attendance requires more discipline and attention",9,2,1,4,"I would like to have the option of attending each class in-person or online.","I would like to have the option of attending each class in-person or online.","It gives some freedome/flexibility when one needs it","Less than weekly","Male",30,"Non-Hispanic white","Prefer not to respond",NA,120,"Part-time","Environmental & Occupational Health Science","Professional school degree (example: MD, DDS, DVM, JD)","No",1,"A or A+","Bios",NA,NA,NA,NA,"No","As I previously mentionned - flexibility, although I preffer in person classes. And another big one - online recordings - I in fact have revisited some of lectures and labs.","Hard to tell, since hybrid courses offer most of the two worlds; excluding personal traits - I would say none.",NA,3,"Non-Hispanic white","No/No Answer","LearnPref",NA,NA,"In person","Option of in-person or online"
"37",37,"2014-07-02 15:13:32","Agree (participate in the survey)",NA,4,4,5,NA,NA,NA,NA,NA,NA,"I would like to have the option of attending each class in-person or online.","Prefer not to respond",NA,"Daily or more frequently","Male",31,"Asian","Full-time",35,240,"Full-time ","Environmental & Occupational Health Science","Bachelor’s degree","Yes",1,"A- or B+","Epi",4,"Online","I prefer the flexibility provided the online format. If I could, I would be able to choose to either review the lecture notes/ppt files, look at the recorded lecture, or both depending on my comfort with the topics presented. As a full time employee, flexibility means portability - I can review the material in small chunks throughout my day. ",NA,"No",NA,NA,4,NA,"Other","Full-time","LearnPref","Convenience","Synchronous",NA,"Option of in-person or online"
